cw0_bler,cw0_cb_bler,cw0_cb_errors,cw0_cb_trials,cw0_n_cbs,cw0_successful_payload_bits,cw0_tb_size,cw0_throughput_bits_per_slot,cw1_bler,cw1_cb_bler,cw1_cb_errors,cw1_cb_trials,cw1_n_cbs,cw1_successful_payload_bits,cw1_tb_size,cw1_throughput_bits_per_slot,goodput_bits_per_slot,goodput_se_layer_re,goodput_se_tf,meta_bandwidth_mhz,meta_baseline_1,meta_baseline_2,meta_cb_e_values,meta_channel,meta_csi_error_case,meta_detector_baseline,meta_full_grid_bytes_per_trial,meta_list_size,meta_mapping,meta_memory_policy,meta_modulation,meta_n_prbs,meta_n_re_sampled,meta_payload_k_per_cb,meta_phase,meta_precoder,meta_qm,meta_rank,meta_receiver_csi,meta_retained_channel_bytes_per_trial,meta_rx_nmse_db,meta_sc_mimo_layer_groups,meta_sc_mimo_receiver,meta_scs_khz,meta_speed_kmh,meta_tb_size,meta_tx_nmse_db,scheme,scheme_bler,scheme_cb_bler,snr_db,total_throughput_bits_per_slot,trials
1.0,0.85,34,40,4,144.0,96,14.4,,,,,,,,,14.4,0.075,0.3,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,nr_1cw,1.0,0.85,-12.0,14.4,10
1.0,0.85,34,40,4,144.0,96,14.4,,,,,,,,,14.4,0.075,0.3,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,sc_mimo_sic,1.0,0.85,-12.0,14.4,10
0.0,0.0,0,20,2,480.0,48,48.0,1.0,1.0,20,20,2,0.0,48,0.0,48.0,0.25,1.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,baseline_2cw_scheme4,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,baseline_2cw,1.0,0.5,-12.0,48.0,10
0.5,0.175,7,40,4,792.0,96,79.2,,,,,,,,,79.2,0.41250000000000003,1.6500000000000001,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,nr_1cw,0.5,0.175,-8.0,79.2,10
0.4,0.1,4,40,4,864.0,96,86.4,,,,,,,,,86.4,0.45,1.8,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,sc_mimo_sic,0.4,0.1,-8.0,86.4,10
0.0,0.0,0,20,2,480.0,48,48.0,1.0,1.0,20,20,2,0.0,48,0.0,48.0,0.25,1.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,baseline_2cw_scheme4,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,baseline_2cw,1.0,0.5,-8.0,48.0,10
0.0,0.0,0,40,4,960.0,96,96.0,,,,,,,,,96.0,0.5,2.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,nr_1cw,0.0,0.0,-4.0,96.0,10
0.0,0.0,0,40,4,960.0,96,96.0,,,,,,,,,96.0,0.5,2.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,sc_mimo_sic,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,sc_mimo_sic,0.0,0.0,-4.0,96.0,10
0.0,0.0,0,20,2,480.0,48,48.0,1.0,1.0,20,20,2,0.0,48,0.0,48.0,0.25,1.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,baseline_2cw_scheme4,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,baseline_2cw,1.0,0.5,-4.0,48.0,10
0.0,0.0,0,40,4,960.0,96,96.0,,,,,,,,,96.0,0.5,2.0,20.0,nr_1cw_scheme1_rank4,"baseline_2cw_scheme4_rank4_layers_((0, 1), (2, 3))","[96, 96, 96, 96]",CDL-A 30ns,ideal_csi,kbest_rml,16932864,256,nr_1cw,"stream full CDL grid per trial, sample data REs, add NMSE only on sampled H",QPSK,106,48,24,3_csi_error_fixed_qpsk_bler,per_re_svd_on_tx_estimated_channel,2,4,rx_estimated_effective_channel,294912,0,"((0, 1), (2, 3))",hybrid_rml_mmse_after_sic,15,3.0,96,0,nr_1cw,0.0,0.0,0.0,96.0,10
